the_geom,cartodb_id,censustract,awater,aland,state,county,tractce,statefp,name,lsad,countyfp,affgeoid,lilatracts_1and10,geoid
0106000020E61000000100000001030000000100000010000000777764AC36365AC042C2F7FE06E543403441D47D00365AC07803CC7C07E54340461B47ACC5355AC0110A117008E54340673F524486355AC049AC8C463EE54340E34350357A355AC02A2B4D4A41E54340BD6378EC67355AC006EDD5C743E5434081C476F700355AC064C22FF5F3E443407913437232355AC0669AB0FD64E44340F8F02C4146355AC06A2A8BC22EE4434024A77686A9355AC08895D1C8E7E34340F1D3B837BF355AC0318FFCC1C0E34340A55D4C33DD355AC02E4AD05FE8E34340947A1684F2355AC06F3FE08101E44340A1586E6935365AC0916C753925E443400047020D36365AC0372C0DFCA8E44340777764AC36365AC042C2F7FE06E54340,5,8031008306,0,1366938,CO,Denver,008306,08,83.06,CT,031,1400000US08031008306,1,8031008306
0106000020E61000000100000001030000000100000013000000EB48F59D5F3E5AC06F7B82C476D543404D1E166A4D3E5AC0B0FB8EE1B1D543401E9A79724D3E5AC0FC4B529962D64340667A89B14C3E5AC0C5F8307BD9D643405D43705CC63D5AC0C62C7B12D8D64340BD49D3A0683D5AC0A813D044D8D64340B8C0E5B1663D5AC0F6E461A1D6D6434076D15790663D5AC068A510C825D64340055E2D77663D5AC0BE805EB873D54340E72ADD5D673D5AC0C6832D76FBD4434010D89C83673D5AC011BA4BE2ACD44340340BB43BA43D5AC0BD2B82FFADD4434038AE4676A53D5AC037A1100187D443403DFF3D78ED3D5AC0F57D384888D44340BDF6CC92003E5AC0775C548B88D44340E0CCAFE6003E5AC05EB35C363AD543400081CEA44D3E5AC058C2DA183BD54340474739984D3E5AC0FE0758AB76D54340EB48F59D5F3E5AC06F7B82C476D54340,33,8031003004,0,2159683,CO,Denver,003004,08,30.04,CT,031,1400000US08031003004,1,8031003004
0106000020E6100000010000000103000000010000000F000000C1BD326FD5335AC0D2EFC2D66CE3434086D9CBB6D3335AC0F80D130D52E443408036397CD2335AC00A98C0ADBBE543407B7901F6D1335AC09F6B5F402FE6434078E40F069E325AC0E87FB9162DE643403DA9F6E978325AC0BC1C76DF31E64340DFEB6B5D6A315AC009BABDA431E6434028B2D6506A315AC02A2E8ECA4DE44340152D40DB6A315AC089CA863595E34340269831056B315AC0F6A8BF5E61E34340245B5D4E09325AC0D26A48DC63E343409BD9AED007325AC065136058FEE24340E4ADBA0ED5335AC09E58A7CAF7E2434021C66B5ED5335AC073EE76BD34E34340C1BD326FD5335AC0D2EFC2D66CE34340,49,8031008388,0,8682576,CO,Denver,008388,08,83.88,CT,031,1400000US08031008388,1,8031008388
0106000020E61000000100000001030000000100000012000000FEC7091346385AC0E98D5A61FAD4434042AB933314385AC00BFCA886FDD443409332A9A10D385AC098249694BBD5434025512FF834385AC0431669E21DD6434025F73B1405385AC0D2A23EC91DD64340F5F065A208385AC05142B0AA5ED64340322BDB87BC375AC05142B0AA5ED643404A77D7D990375AC028CDE67118D64340C06A2C616D375AC051CF8250DED543404EA912656F375AC0724BAB2171D543406A5A290472375AC091205C0185D44340110F289B72375AC01EBAA0BE65D44340E4AE25E483375AC0D1BEB9BF7AD443405B33F9669B375AC035328FFCC1D44340E0CD1ABCAF375AC02535B401D8D443400943E4F4F5375AC0F76F5E9CF8D44340D95207793D385AC07D350708E6D44340FEC7091346385AC0E98D5A61FAD44340,98,8031006813,0,1097928,CO,Denver,006813,08,68.13,CT,031,1400000US08031006813,1,8031006813
0106000020E6100000010000000103000000010000000F000000C084D1AC6C3D5AC0D2F8855792E043404A3ACAC16C3D5AC0AA74779D0DE143404F11A7936C3D5AC0526CCCEB88E14340C7E4D4CE303D5AC0A00914B188E14340B660A92EE03C5AC0B96587F887E14340CD001764CB3C5AC0660B08AD87E14340A3DC7D8E8F3C5AC0EFDAA50D87E1434014A58460553C5AC0826BEEE87FE143404AC3F011313C5AC0186EC0E787E1434014687748313C5AC062601DC70FE1434014687748313C5AC0F7BB77D498E0434062D17476323C5AC02F0F99F221E04340A11EA2D11D3D5AC0F631E6AE25E0434002745FCE6C3D5AC0BC4A3E7617E04340C084D1AC6C3D5AC0D2F8855792E04340,135,8031003603,0,1984693,CO,Denver,003603,08,36.03,CT,031,1400000US08031003603,1,8031003603
0106000020E6100000010000000103000000010000000F0000002CAA4544313C5AC0990645F300E2434068DC9BDF303C5AC08E8B6A1151E2434009D462F0303C5AC0A3C4AEEDEDE2434044EC1340313C5AC0C1BD326FD5E343404C2B85402E3C5AC07416BD5301E543405606D506273C5AC085AA984A3FE54340EB116A86543B5AC059AFE94141E54340E5543200543B5AC080A966D652E44340DEFC8689063B5AC0DFB19FC552E44340781D71C8063B5AC0F273435376E24340E3B9BE0F073B5AC09A3A8F8AFFE143404899D4D0063B5AC089ADA06989E143407CEBC37AA33B5AC0D64AE82E89E143404AC3F011313C5AC0186EC0E787E143402CAA4544313C5AC0990645F300E24340,137,8031004101,0,4685149,CO,Denver,004101,08,41.01,CT,031,1400000US08031004101,1,8031004101
0106000020E6100000010000000103000000010000000C000000B832A83638365AC0B23EE5982CE64340E4779ACC78355AC0B5DAC35E28E643402AF015DD7A355AC0C30776FC17E64340B96246787B355AC0F23B4D66BCE543409572BED87B355AC01D2BF86D88E54340E34350357A355AC02A2B4D4A41E54340673F524486355AC049AC8C463EE54340461B47ACC5355AC0110A117008E543403441D47D00365AC07803CC7C07E54340777764AC36365AC042C2F7FE06E5434035548CF337365AC04F84D4EDECE54340B832A83638365AC0B23EE5982CE64340,169,8031008304,0,934910,CO,Denver,008304,08,83.04,CT,031,1400000US08031008304,1,8031008304
0106000020E6100000010000000103000000010000000B000000CED38041D2395AC05B8FC2F528DE4340E6154F3DD2395AC063ADA1D45EDE4340169AEB34D2395AC020A64412BDDE434024E99AC937395AC0A4846055BDDE434060A2410A9E385AC015F88A6EBDDE43402A47C8409E385AC0751893FE5EDE434037DBDC989E385AC05B8FC2F528DE43409BA04D0E9F385AC08F80D1E5CDDD4340BC2D58AA0B395AC0125FED28CEDD4340CED38041D2395AC0A1B77878CFDD4340CED38041D2395AC05B8FC2F528DE4340,228,8031004404,0,1304210,CO,Denver,004404,08,44.04,CT,031,1400000US08031004404,1,8031004404
0106000020E610000001000000010300000001000000230000000F96B1A19B415AC0714C16F71FD5434043F12A6B9B415AC0E6A562635ED543408BB7955E9B415AC0390664AF77D54340D397A59D9A415AC08EF46915FDD54340CDC0C8CB9A415AC0860FECF82FD6434033A0DE8C9A415AC0B1F1608BDDD643400ECAFB389A415AC05B85949F54D74340AA71361D01415AC0B56801DA56D74340567380608E405AC0EA116A8654D74340E40D30F31D405AC0AA8A709351D743406319E25817405AC0F878E8BB5BD743405C66D828EB3F5AC0F541960513D74340C7FFE4EFDE3F5AC096A8DE1AD8D64340AB342905DD3F5AC0E0CFF0660DD64340B984436FF13F5AC06C3656629ED5434066EC4B361E405AC0BC18CA8976D54340BD44BC75FE3F5AC0C4C210397DD54340F7BCE2A947405AC07490D78349D543408FBFB4A84F405AC07433A31F0DD54340B19597FC4F405AC065BD18CA89D443408D8D40BCAE405AC0B7E34D7E8BD44340E1A7716F7E405AC0AFAC342905D54340D55757056A405AC07C23BA675DD543400E3CBEBD6B405AC07D5358A9A0D64340452234828D405AC01E4B1FBAA0D64340C12973F38D405AC05D97E13FDDD6434064ABCB2901415AC0C228081EDFD643401BE5603601415AC0E24EE960FDD54340F7F4D89601415AC02895F0845ED5434038CAC16C02415AC00F346612F5D44340B5D100DE02415AC0885FB1868BD443400882C7B777415AC0C39107228BD443406E2D93E178415AC00C84640113D443409026DE019E415AC0783A579412D443400F96B1A19B415AC0714C16F71FD54340,245,8031015600,3218,3731549,CO,Denver,015600,08,156,CT,031,1400000US08031015600,1,8031015600
0106000020E6100000010000000103000000010000000E000000B96246787B355AC0F23B4D66BCE543402AF015DD7A355AC0C30776FC17E64340E4779ACC78355AC0B5DAC35E28E643406146787B10355AC0A3A31CCC26E643405F6D8C9DF0345AC06B921FF12BE643408ADEA9807B345AC03BDA38622DE6434034E84B6F7F345AC057C0046EDDE543401D9F909DB7345AC02163B5F97FE543402C3D9AEAC9345AC01B3F541A31E5434081C476F700355AC064C22FF5F3E44340BD6378EC67355AC006EDD5C743E54340E34350357A355AC02A2B4D4A41E543409572BED87B355AC01D2BF86D88E54340B96246787B355AC0F23B4D66BCE54340,359,8031008305,0,1025779,CO,Denver,008305,08,83.05,CT,031,1400000US08031008305,1,8031008305
