TRAFFIC_SIGNAL_ID,RECORD_DATE,RECORD_STATUS,SIGNAL_STATUS,FROM_DATE,TO_DATE,SIGNAL_OWNER,LOCATION_CODE,LOCATION_ID,SIGNAL_TYPE,INSTALLATION_DATE,REBUILD_DATE,MAJOR_RETIME_DATE
171,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4422,658,,,,
172,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3085,63,,,,
173,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4020,504,,,,
174,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3292N,213,,,,
176,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3975,489,,,,
177,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3131,94,,,,
178,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3076,56,,,,
179,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3782,393,,,,
180,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3152,109,,,,
182,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3081,59,,,,
183,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3169,119,,,,
184,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3097,70,,,,
185,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3154,111,,,,
186,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3027,19,,,,
188,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3874,442,,,,
189,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3170,120,,,,
190,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3564,322,,,,
191,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3805W,410,,,,
193,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3838,430,,,,
194,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3729,367,,,,
195,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3748,380,,,,
196,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3283,205,,,,
197,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3002,5,,,,
199,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3022,15,,,,
200,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3255,187,,,,
201,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3117,85,,,,
202,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3212,152,,,,
203,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,6364,332,,,,
205,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3023,16,,,,
206,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3426,273,,,,
207,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3198,141,,,,
208,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3597,332,,,,
209,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3465,292,,,,
211,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3753,384,,,,
212,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3754,385,,,,
213,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3547,317,,,,
214,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3138,99,,,,
215,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3718,359,,,,
217,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3825,418,,,,
218,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3322,234,,,,
219,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3869,440,,,,
220,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3794,403,,,,
222,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3618,338,,,,
223,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3173,123,,,,
224,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3765,389,,,,
225,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3680,349,,,,
226,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3764,388,,,,
228,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3200,143,,,,
229,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3216,156,,,,
230,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3840,432,,,,
231,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3817,413,,,,
232,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3241,176,,,,
